,Ticker,NumTrds,AvgWPer,AvgLPer,%NumPer,Reward%,Risk%,R:R,Winrate%,Ret/Trd%,Ret%
4,AAPL,6,13.5,1.5,22.6,5.0,1.0,5.0,66.7,3.0,18.0
9,AAPL,6,13.5,2.0,23.0,5.0,1.5,3.3,66.7,2.833,17.0
14,AAPL,6,13.5,2.5,23.4,5.0,2.0,2.5,66.7,2.667,16.0
3,AAPL,7,6.0,1.5,13.1,4.0,1.0,4.0,71.4,2.571,18.0
8,AAPL,7,6.0,2.0,13.5,4.0,1.5,2.7,71.4,2.429,17.0
13,AAPL,7,6.0,2.5,13.9,4.0,2.0,2.0,71.4,2.286,16.0
2,AAPL,7,4.8,1.5,10.7,3.0,1.0,3.0,71.4,1.857,13.0
7,AAPL,7,4.8,2.0,11.1,3.0,1.5,2.0,71.4,1.714,12.0
12,AAPL,7,4.8,2.5,11.5,3.0,2.0,1.5,71.4,1.571,11.0
1,AAPL,7,3.0,1.5,7.1,2.0,1.0,2.0,71.4,1.143,8.0
6,AAPL,7,3.0,2.0,7.5,2.0,1.5,1.3,71.4,1.0,7.0
11,AAPL,7,3.0,2.5,7.9,2.0,2.0,1.0,71.4,0.857,6.0
0,AAPL,7,1.2,1.0,3.2,1.0,1.0,1.0,85.7,0.714,5.0
5,AAPL,7,1.2,2.0,3.6,1.0,1.5,0.7,85.7,0.643,4.5
10,AAPL,7,1.2,2.0,3.6,1.0,2.0,0.5,85.7,0.571,4.0
